Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,1.116182,1.206165,1.087356,1.093635,1.093635,724655311
2021-03-23,1.093517,1.114576,1.033449,1.060867,1.060867,470652649
2021-03-24,1.059944,1.120161,0.964084,0.993128,0.993128,481722062
2021-03-25,0.992276,1.012600,0.944333,0.974786,0.974786,407279008
2021-03-26,0.975044,1.089059,0.975044,1.074686,1.074686,402257751
2021-03-27,1.074833,1.088235,1.017664,1.081725,1.081725,334642525
2021-03-28,1.081370,1.149507,1.069622,1.117845,1.117845,447685371
2021-03-29,1.118816,1.142562,1.080158,1.139330,1.139330,342890905
2021-03-30,1.139484,1.212167,1.126233,1.175074,1.175074,431411939
2021-03-31,1.174450,1.188645,1.094047,1.142298,1.142298,347998689
2021-04-01,1.143359,1.186686,1.128402,1.163506,1.163506,381253021
2021-04-02,1.163059,1.281490,1.144449,1.208935,1.208935,509525662
2021-04-03,1.208908,1.272324,1.127667,1.130627,1.130627,440931089
2021-04-04,1.130588,1.191651,1.119210,1.186988,1.186988,288057160
2021-04-05,1.186726,1.286439,1.149125,1.285693,1.285693,463749997
2021-04-06,1.280285,1.341885,1.188614,1.336931,1.336931,665833913
2021-04-07,1.331964,1.379097,1.154928,1.187906,1.187906,629366234
2021-04-08,1.187341,1.298667,1.178408,1.293698,1.293698,395767074
2021-04-09,1.293303,1.648437,1.266328,1.533599,1.533599,1177934596
2021-04-10,1.541148,1.620205,1.393594,1.472573,1.472573,883581739
2021-04-11,1.466744,1.569921,1.414392,1.444683,1.444683,615827806
2021-04-12,1.441739,1.474544,1.397054,1.422055,1.422055,461853809
2021-04-13,1.421378,1.519382,1.397679,1.499681,1.499681,538955934
2021-04-14,1.499537,1.565142,1.403057,1.466433,1.466433,592835976
2021-04-15,1.465741,1.595045,1.443430,1.522614,1.522614,628565595
2021-04-16,1.520446,1.565593,1.410667,1.527853,1.527853,605662287
2021-04-17,1.523853,1.600827,1.480006,1.488800,1.488800,557427382
2021-04-18,1.491406,1.501001,1.144219,1.346577,1.346577,868276095
2021-04-19,1.350679,1.465599,1.206518,1.324726,1.324726,936031018
2021-04-20,1.325896,1.332186,1.173492,1.273452,1.273452,865134848
2021-04-21,1.273927,1.318843,1.217852,1.229942,1.229942,712585127
2021-04-22,1.227279,1.258304,1.092848,1.102461,1.102461,710176568
2021-04-23,1.100845,1.190643,0.876807,1.184937,1.184937,785645045
2021-04-24,1.185941,1.185941,1.030174,1.032049,1.032049,491551822
2021-04-25,1.032440,1.170011,0.971871,1.021812,1.021812,506242541
2021-04-26,1.024924,1.195872,1.017538,1.195872,1.195872,525764481
2021-04-27,1.194711,1.273218,1.175318,1.255987,1.255987,533460575
